"Sample_ID,Temperature,Pressure,Vibration,Speed,Voltage,Response"
"1,82.47,128.03,0.91,1598.66,213.12,0"
"2,63.49,124.65,0.76,1708.07,210.41,1"
"3,109.95,98.49,0.3,1183.4,216.08,1"
"4,85.92,101.65,0.77,1139.49,215.84,1"
"5,87.36,121.41,0.32,1514.23,221.85,1"
"6,96.45,96.82,0.17,1948.89,229.31,1"
"7,78.28,93.91,0.85,1440.15,212.44,0"
"8,62.06,126.37,0.38,1662.52,216.23,1"
"9,92.8,97.39,1.17,1775.13,228.79,1"
"10,95.87,126.87,0.2,1195.98,210.9,1"
"11,83.32,100.85,1.01,1356.75,215.62,1"
"12,68.46,122.09,0.18,1986.89,225.44,1"
"13,60.33,122.62,0.88,1729.01,225.43,0"
"14,81.51,94.63,1.05,1623.3,216.62,0"
"15,78.66,103.01,0.9,1637.56,227.74,0"
"16,67.18,118.53,0.94,1561.28,225.42,0"
"17,91.36,107.1,0.13,1107.89,210.63,1"
"18,78.86,110.34,1.1,1249.29,218.21,1"
"19,73.73,93.08,0.42,1161.22,228.59,1"
"20,98.0,124.86,0.98,1186.57,227.85,0"
"21,108.45,125.84,0.45,1110.05,214.56,1"
"22,109.08,124.43,0.11,1510.75,218.35,1"
"23,67.19,103.5,1.14,1323.2,220.38,1"
"24,81.82,128.87,1.16,1251.78,219.94,0"
"25,77.09,91.48,0.77,1502.68,211.03,1"
"26,114.5,99.58,0.26,1489.45,229.71,1"
"27,100.33,120.46,0.36,1728.22,217.36,1"
"28,98.01,111.43,0.2,1835.3,216.42,1"
"29,62.45,113.64,0.85,1016.59,220.24,0"
"30,98.71,96.97,0.86,1386.74,228.73,0"
"31,80.46,94.54,1.12,1877.34,215.16,1"
"32,109.03,112.21,0.68,1241.85,211.86,1"
"33,114.03,115.32,0.47,1349.21,224.52,1"
"34,113.23,121.2,0.81,1084.14,213.23,1"
"35,96.39,90.37,0.21,1663.5,210.1,1"
"36,92.92,117.68,0.82,1224.27,224.24,0"
"37,79.52,119.86,0.81,1849.22,223.15,1"
"38,65.62,104.71,0.39,1243.99,229.46,1"
"39,113.52,115.25,0.97,1502.64,221.54,0"
"40,71.71,118.9,0.41,1024.32,222.91,0"
"41,116.43,128.16,1.11,1370.16,210.31,1"
"42,85.69,128.67,1.16,1853.01,215.89,0"
"43,111.07,102.68,0.29,1556.8,228.72,1"
"44,94.2,93.89,0.78,1990.05,212.8,1"
"45,112.64,119.63,0.87,1702.48,217.19,0"
"46,108.56,122.4,1.05,1913.24,220.23,1"
"47,107.9,116.0,0.87,1795.79,227.8,0"
"48,82.53,93.76,0.74,1035.94,219.31,1"
"49,77.19,113.63,0.13,1037.35,226.45,1"
"50,67.62,110.89,0.95,1215.82,222.46,0"
"51,63.1,111.25,0.69,1637.43,224.52,1"
"52,90.98,102.92,0.97,1270.83,218.78,0"
"53,61.52,128.51,1.02,1695.97,218.18,0"
"54,69.39,100.01,0.7,1714.6,223.2,1"
"55,117.29,119.52,0.71,1611.72,218.39,0"
"56,81.36,120.31,0.12,1116.07,210.92,0"
"57,111.33,118.15,0.62,1097.83,219.83,1"
